"","term","estimate","std.error","statistic","p.value"
"165","FTI_reading146",0.0352768091378363,0.196596276774907,0.179437829223117,0.85760899551402
"166","FTI_reading147",0.039416799512304,0.174618834142416,0.225730515874114,0.821430138867324
"167","FTI_reading148",0.00441442702100839,0.173174033715899,0.0254912756045776,0.979665215103205
"168","FTI_reading149",0.0204468097712722,0.171754082953523,0.119047008488323,0.905248022694844
"169","FTI_reading15",-0.0020534067922423,0.21820481823684,-0.00941045577652426,0.992492431356372
"170","FTI_reading150",-0.0201091182489187,0.176886662640866,-0.113683631929595,0.90949804554794
"171","FTI_reading151",0.213411551561403,0.181778891095269,1.17401723751058,0.240503977927956
"172","FTI_reading152",0.151990168235205,0.176474232646798,0.861259833549773,0.389180525027643
"173","FTI_reading153",0.0217892857968778,0.171865051851131,0.12678136457755,0.899124008689409
"174","FTI_reading154",0.0378463007837493,0.180139137643775,0.210094826026038,0.833611400947261
"175","FTI_reading155",-0.167148238956824,0.208668925085992,-0.801021229624594,0.423198219237169
"176","FTI_reading156",0.0365566582581234,0.200344269403819,0.182469198479737,0.855229852540155
"177","FTI_reading157",-0.000491204676474173,0.178647514336845,-0.00274957464870176,0.997806386886555
"178","FTI_reading158",-0.0247821349032768,0.217080839651258,-0.114160857969268,0.909119777344038
"179","FTI_reading159",0.0295261442148182,0.193176304688848,0.152845579391201,0.878532832202354
"180","FTI_reading16",-0.0162689487781659,0.21973253724548,-0.0740397802806537,0.940984868923972
"181","FTI_reading160",0.00732165334579815,0.180871517481912,0.0404798580104264,0.96771391369746
"182","FTI_reading161",-0.0679340276033583,0.182576775018095,-0.372084716671249,0.709862448044278
"183","FTI_reading162",0.04827084227194,0.222382352768576,0.217062377796557,0.828178083608603
"184","FTI_reading163",-0.00219714616647751,0.19292745473357,-0.0113884577470414,0.990914463248926
"185","FTI_reading164",0.0181578267884799,0.184138950081949,0.098609375042048,0.921456616577854
"186","FTI_reading165",0.00537497174758724,0.19104222872915,0.0281349928931556,0.977556811404273
"187","FTI_reading166",0.00236379701215662,0.19177502114386,0.0123258858117054,0.990166633978561
"188","FTI_reading167",0.018822799701305,0.218223498934692,0.0862546874795467,0.931271114591289
"189","FTI_reading168",0.0459250832449435,0.206137169179281,0.222788948872203,0.823718625545325
"190","FTI_reading169",0.0465194623713298,0.204921165132486,0.227011506309043,0.820434025027023
"191","FTI_reading17",0.0134901630772374,0.139945002659941,0.0963961757892693,0.923213934217203
"192","FTI_reading170",0.0482120063300778,0.195727493729944,0.246322095129868,0.805453858556178
"193","FTI_reading171",-0.0483554225451005,0.192052293854744,-0.251782582621343,0.801230562164999
"194","FTI_reading172",0.019026070505153,0.200613776173568,0.0948393020063185,0.924450343581732
"195","FTI_reading173",0.0234725865572356,0.194225752420234,0.120852081996055,0.903818258807471
"196","FTI_reading174",0.0411012760749768,0.214262119278592,0.191827077102394,0.847893800721234
"197","FTI_reading175",-0.00353274369752234,0.263585618682259,-0.0134026420530207,0.989307666952355
"198","FTI_reading176",0.00963051311826482,0.231966413247858,0.0415168428197169,0.966887300575819
"199","FTI_reading177",0.0970089659972543,0.230891443007041,0.420149680446564,0.674413520257204
"200","FTI_reading178",-0.0657583067259999,0.228130359110508,-0.288248819588918,0.773181037606672
"201","FTI_reading179",-0.0258681503031585,0.220439062909614,-0.117348304614075,0.90659381409146
"202","FTI_reading18",0.140399023704513,0.256142102605036,0.548129426113927,0.58365373902093
"203","FTI_reading180",-0.0437286948087615,0.265031864625453,-0.164994103145142,0.868962443885404
"204","FTI_reading181",0.0319221290187056,0.274852463781079,0.116142779218933,0.907549049852192
"205","FTI_reading182",0.0429266507035968,0.261374531740166,0.164234251967099,0.869560493167228
"206","FTI_reading183",0.065845216497107,0.265163424065452,0.248319377867342,0.803908437423229
"207","FTI_reading184",0.0424885666387826,0.268303043995022,0.158360360009821,0.874186098980851
"208","FTI_reading185",-0.0401133752797119,0.225215517252946,-0.178111063433784,0.858650704422972
"209","FTI_reading186",0.00556542028265975,0.210870688595489,0.0263925741397651,0.978946399460263
"210","FTI_reading188",0.031412302504725,0.209200624194627,0.15015396166075,0.880655696700217
"211","FTI_reading189",-0.0241023559903256,0.266686768467504,-0.0903770221853452,0.927995116566349
"212","FTI_reading19",0.0344142339230689,0.180919862752489,0.190218107616796,0.849154222742613
"213","FTI_reading190",0.0587531291611402,0.23138583087993,0.253918439766644,0.799580202259486
"214","FTI_reading191",0.0981593186886181,0.274159943929151,0.358036689393198,0.72034717329375
"215","FTI_reading194",0.0777763866153809,0.236931623731817,0.328265114594479,0.742739700411958
"216","FTI_reading195",-0.0239230084745475,0.22267912195827,-0.107432651360241,0.914454683640292
"217","FTI_reading196",-0.0424082361212122,0.227177548202666,-0.186674415921504,0.851931609160459
"218","FTI_reading197",0.0362283197901621,0.233508365449981,0.155147845433068,0.876717739848177
